player_id,name,recent_team,season,week,years_exp,position_wr,position_te,season_tot_receptions,season_tot_targets,season_tot_receiving_yards,season_tot_receiving_tds,season_tot_receiving_air_yards,season_avg_racr,season_avg_tgt_share,season_avg_air_yards_share,season_avg_wopr,season_avg_fantasy_points_ppr,recent_racr,recent_tgt_share,recent_air_yards_share,recent_wopr,recent_fantasy_points_ppr,lw_fpts,lw_wopr,career_fpts,actual_fantasy_pts
00-0033357,Taysom Hill,NO,2022,6,5,0,1,1,1,2,0,2,1.00,0.01,0.00,0.01,14.72,0.00,0.00,0.00,0.00,14.53,34.08,0.00,7.70,34.08
00-0033386,Cody Hollister,TEN,2022,6,5,1,0,1,1,22,0,22,1.00,0.03,0.08,0.10,3.20,1.00,0.03,0.08,0.10,3.20,3.20,0.10,2.67,3.20
00-0033439,Pharaoh Brown,HOU,2022,6,5,0,1,7,10,72,0,60,1.20,0.10,0.08,0.20,4.73,1.20,0.10,0.08,0.20,4.73,6.10,0.27,3.82,6.10
00-0033455,Anthony Firkser,ATL,2022,6,4,0,1,3,4,39,0,33,1.18,0.05,0.04,0.11,2.30,1.18,0.05,0.04,0.11,2.30,2.10,0.10,5.05,2.10
00-0033466,Isaiah McKenzie,BUF,2022,6,5,1,0,15,21,153,3,139,1.10,0.13,0.13,0.28,12.23,0.96,0.14,0.13,0.30,13.00,12.10,0.35,5.98,12.10
00-0033536,Mike Williams,LAC,2022,6,5,1,0,28,44,392,2,496,0.79,0.23,0.39,0.62,15.84,0.54,0.27,0.43,0.71,16.97,23.40,1.05,11.19,23.40
00-0033555,Mack Hollins,LV,2022,6,5,1,0,17,29,273,1,397,0.69,0.17,0.27,0.44,10.09,0.48,0.20,0.35,0.55,12.09,0.00,0.47,4.53,0.00
00-0033572,Jamal Agnew,JAX,2022,6,5,1,0,6,10,73,2,115,0.63,0.06,0.08,0.15,5.26,0.58,0.08,0.10,0.18,8.00,0.30,0.04,4.52,0.30
00-0033576,Eric Saubert,DEN,2022,6,5,0,1,7,13,83,1,139,0.60,0.08,0.10,0.19,4.26,0.44,0.11,0.11,0.24,4.03,8.60,0.34,2.54,8.60
00-0033591,Noah Brown,DAL,2022,6,5,1,0,19,29,279,1,295,0.95,0.20,0.26,0.49,10.58,0.41,0.21,0.22,0.47,7.00,1.50,0.25,3.75,1.50
00-0033633,Tanner Gentry,BUF,2022,6,5,1,0,0,1,0,0,7,0.00,0.03,0.02,0.05,0.00,0.00,0.03,0.02,0.05,0.00,0.00,0.05,1.30,0.00
00-0033681,Keelan Cole,LV,2022,6,5,1,0,1,4,12,0,67,0.18,0.10,0.18,0.27,2.20,0.18,0.10,0.18,0.27,2.20,2.20,0.27,7.41,2.20
00-0033757,Robert Tonyan,GB,2022,6,5,0,1,17,20,129,1,47,2.74,0.12,0.04,0.21,7.18,1.74,0.12,0.03,0.21,8.73,6.30,0.14,7.47,6.30
00-0033798,Mason Schreck,HOU,2022,6,5,0,1,2,2,6,0,6,1.00,0.03,0.02,0.06,1.30,1.00,0.03,0.02,0.06,1.30,1.60,0.08,0.87,1.60
00-0033857,JuJu Smith-Schuster,KC,2022,6,5,1,0,22,35,257,0,299,0.86,0.19,0.22,0.44,9.14,0.56,0.22,0.26,0.51,9.93,6.30,0.44,13.92,6.30
00-0033858,Jonnu Smith,NE,2022,6,5,0,1,7,11,58,0,47,1.23,0.11,0.05,0.21,4.27,1.23,0.11,0.05,0.21,4.27,6.50,0.19,5.98,6.50
00-0033871,Corey Davis,NYJ,2022,6,5,1,0,17,29,299,2,440,0.68,0.14,0.27,0.40,11.78,0.32,0.15,0.20,0.36,9.63,5.80,0.45,10.17,5.80
00-0033879,O.J. Howard,HOU,2022,6,5,0,1,5,10,72,2,147,0.49,0.06,0.12,0.18,4.84,0.18,0.08,0.17,0.24,1.57,0.00,0.10,7.34,0.00
00-0033881,Evan Engram,JAX,2022,6,5,0,1,19,26,168,0,202,0.83,0.15,0.15,0.33,7.56,0.47,0.13,0.19,0.33,6.47,12.90,0.53,9.87,12.90
00-0033885,David Njoku,CLE,2022,6,5,0,1,24,29,289,1,155,1.86,0.19,0.14,0.38,11.26,1.61,0.23,0.18,0.48,16.13,14.80,0.39,7.19,14.80
00-0033891,Zay Jones,JAX,2022,6,5,1,0,22,32,185,1,212,0.87,0.21,0.18,0.45,11.63,0.57,0.21,0.16,0.42,11.33,4.20,0.38,6.51,4.20
